Tipo da Entrada;Nome do Algoritmo;Tamanho da Entrada;Tempo de Execucao(ms);Tempo CPU(ms); Trocas; Comparacoes
3_0;Insertion Sort;100;0.015000;0.013000;0;4950
3_0;Selection Sort;100;0.011000;0.011000;50;4950
3_0;Merge Sort;100;0.006000;0.006000;0;316
3_0;Quick Sort;100;0.016000;0.016000;2500;4950
3_0;Shell Sort;100;0.004000;0.003000;260;668
4_86;Insertion Sort;100;0.007000;0.006200;0;2202
4_86;Selection Sort;100;0.012200;0.012000;75;4950
4_86;Merge Sort;100;0.006600;0.006000;0;540
4_86;Quick Sort;100;0.004200;0.003800;399;669
4_86;Shell Sort;100;0.005000;0.004800;439;896
1_0;Insertion Sort;200;0.026200;0.025200;0;10134
1_0;Selection Sort;200;0.044200;0.043800;192;19900
1_0;Merge Sort;200;0.014200;0.014000;0;1283
1_0;Quick Sort;200;0.009000;0.008400;921;1549
1_0;Shell Sort;200;0.013600;0.013200;1062;2166
2_0;Insertion Sort;200;0.003000;0.002000;0;199
2_0;Selection Sort;200;0.040000;0.039000;0;19900
2_0;Merge Sort;200;0.012000;0.013000;0;812
2_0;Quick Sort;200;0.086000;0.087000;19900;19900
2_0;Shell Sort;200;0.004000;0.004000;0;1203
3_0;Insertion Sort;200;0.049000;0.047000;0;19900
3_0;Selection Sort;200;0.041000;0.041000;100;19900
3_0;Merge Sort;200;0.012000;0.011000;0;732
3_0;Quick Sort;200;0.061000;0.060000;10000;19900
3_0;Shell Sort;200;0.006000;0.006000;620;1628
4_50;Insertion Sort;200;0.022200;0.021400;0;7946
4_50;Selection Sort;200;0.043400;0.043000;97;19900
4_50;Merge Sort;200;0.014400;0.014200;0;1275
4_50;Quick Sort;200;0.009400;0.009000;1201;1775
4_50;Shell Sort;200;0.012200;0.012000;895;2011
1_0;Insertion Sort;300;0.056000;0.055400;0;22486
1_0;Selection Sort;300;0.097600;0.097200;290;44850
1_0;Merge Sort;300;0.023800;0.023800;0;2100
1_0;Quick Sort;300;0.016800;0.016400;1341;2742
1_0;Shell Sort;300;0.025600;0.025000;1676;3610
2_0;Insertion Sort;300;0.005000;0.001000;0;299
2_0;Selection Sort;300;0.091000;0.090000;0;44850
2_0;Merge Sort;300;0.021000;0.021000;0;1308
2_0;Quick Sort;300;0.188000;0.188000;44850;44850
2_0;Shell Sort;300;0.004000;0.004000;0;2104
3_0;Insertion Sort;300;0.139000;0.137000;0;44850
3_0;Selection Sort;300;0.115000;0.114000;150;44850
3_0;Merge Sort;300;0.024000;0.024000;0;1180
3_0;Quick Sort;300;0.152000;0.151000;22500;44850
3_0;Shell Sort;300;0.014000;0.013000;1000;2812
4_10;Insertion Sort;300;0.020600;0.019800;0;7365
4_10;Selection Sort;300;0.085600;0.085400;30;44850
4_10;Merge Sort;300;0.020000;0.020400;0;1948
4_10;Quick Sort;300;0.019400;0.019600;2715;4507
4_10;Shell Sort;300;0.017400;0.017400;1084;3116
1_0;Insertion Sort;400;0.106200;0.105400;0;39908
1_0;Selection Sort;400;0.161600;0.160800;394;79800
1_0;Merge Sort;400;0.030600;0.030400;0;2972
1_0;Quick Sort;400;0.019400;0.019400;1862;3258
1_0;Shell Sort;400;0.035000;0.034400;2898;5507
2_0;Insertion Sort;400;0.004000;0.002000;0;399
2_0;Selection Sort;400;0.167000;0.167000;0;79800
2_0;Merge Sort;400;0.038000;0.038000;0;1824
2_0;Quick Sort;400;0.326000;0.325000;79800;79800
2_0;Shell Sort;400;0.008000;0.008000;0;2803
3_0;Insertion Sort;400;0.197000;0.194000;0;79800
3_0;Selection Sort;400;0.168000;0.167000;200;79800
3_0;Merge Sort;400;0.029000;0.029000;0;1664
3_0;Quick Sort;400;0.254000;0.253000;40000;79800
3_0;Shell Sort;400;0.016000;0.016000;1440;3848
4_52;Insertion Sort;400;0.074400;0.074200;0;31584
4_52;Selection Sort;400;0.156600;0.156400;204;79800
4_52;Merge Sort;400;0.030400;0.030200;0;2941
4_52;Quick Sort;400;0.020200;0.020200;2120;4080
4_52;Shell Sort;400;0.033000;0.032800;2382;5037
1_0;Insertion Sort;500;0.145000;0.144400;0;62442
1_0;Selection Sort;500;0.250200;0.250200;490;124750
1_0;Merge Sort;500;0.043400;0.043200;0;3864
1_0;Quick Sort;500;0.028000;0.028000;2267;4599
1_0;Shell Sort;500;0.040800;0.040200;2852;6111
2_0;Insertion Sort;500;0.005000;0.002000;0;499
2_0;Selection Sort;500;0.252000;0.252000;0;124750
2_0;Merge Sort;500;0.035000;0.035000;0;2272
2_0;Quick Sort;500;0.498000;0.498000;124750;124750
2_0;Shell Sort;500;0.010000;0.009000;0;3506
